series,x,y,pixel_x,pixel_y
color_1,1.132696172,15.77714669,102.000,233.500
color_1,1.134008753,15.77714669,103.000,233.500
color_1,1.135321334,15.77714669,104.000,233.500
color_1,1.136633914,15.77714669,105.000,233.500
color_1,1.137946495,15.65154086,106.000,234.500
color_1,1.139259076,15.52593503,107.000,235.500
color_1,1.140571656,15.27472338,108.000,237.500
color_1,1.141884237,15.27472338,109.000,237.500
color_1,1.143196818,15.27472338,110.000,237.500
color_1,1.144509398,15.27472338,111.000,237.500
color_1,1.145821979,15.27472338,112.000,237.500
color_1,1.14713456,6.356709578,113.000,308.500
color_1,1.148447141,6.293906664,114.000,309.000
color_1,1.149759721,6.293906664,115.000,309.000
color_1,1.151072302,-2.686910048,116.000,380.500
color_1,1.152384883,6.23110375,117.000,309.500
color_1,1.153697463,6.545118321,118.000,307.000
color_1,1.155010044,-10.16045682,119.000,440.000
color_1,1.156322625,-9.97204808,120.000,438.500
color_1,1.157635205,-9.97204808,121.000,438.500
color_1,1.158947786,-9.909245166,122.000,438.000
color_1,1.160260367,-10.91409179,123.000,446.000
color_1,1.161572947,-10.97689471,124.000,446.500
color_1,1.162885528,-10.53727431,125.000,443.000
color_1,1.164198109,-10.28606265,126.000,441.000
color_1,1.165510689,-10.09765391,127.000,439.500
color_1,1.16682327,-10.03485099,128.000,439.000
color_1,1.168135851,-9.909245166,129.000,438.000
color_1,1.169448431,16.59358457,130.000,227.000
color_1,1.170761012,43.09641431,131.000,16.000
color_1,1.172073593,43.09641431,132.000,16.000
color_1,1.173386173,-10.78848596,133.000,445.000
color_1,1.174698754,-10.72568305,134.000,444.500
color_1,1.176011335,-10.66288013,135.000,444.000
color_1,1.177323916,-10.34886556,136.000,441.500
color_1,1.178636496,-10.09765391,137.000,439.500
color_1,1.179949077,-9.97204808,138.000,438.500
color_1,1.181261658,16.59358457,139.000,227.000
color_1,1.182574238,16.59358457,140.000,227.000
color_1,1.183886819,-10.78848596,141.000,445.000
color_1,1.1851994,-10.78848596,142.000,445.000
color_1,1.18651198,-10.78848596,143.000,445.000
color_1,1.187824561,-10.28606265,144.000,441.000
color_1,1.189137142,-10.09765391,145.000,439.500
color_1,1.190449722,-9.97204808,146.000,438.500
color_1,1.191762303,-9.97204808,147.000,438.500
color_1,1.193074884,16.59358457,148.000,227.000
color_1,1.194387464,43.09641431,149.000,16.000
color_1,1.195700045,-9.909245166,150.000,438.000
color_1,1.197012626,-10.78848596,151.000,445.000
color_1,1.198325206,-10.78848596,152.000,445.000
color_1,1.199637787,-10.41166848,153.000,442.000
color_1,1.200950368,-10.22325974,154.000,440.500
color_1,1.202262948,-10.09765391,155.000,439.500
color_1,1.203575529,-9.97204808,156.000,438.500
color_1,1.20488811,16.59358457,157.000,227.000
color_1,1.206200691,16.59358457,158.000,227.000
color_1,1.207513271,-10.85128888,159.000,445.500
color_1,1.208825852,-10.78848596,160.000,445.000
color_1,1.210138433,-10.47447139,161.000,442.500
color_1,1.211451013,-10.22325974,162.000,440.500
color_1,1.212763594,-10.03485099,163.000,439.000
color_1,1.214076175,-9.97204808,164.000,438.500
color_1,1.215388755,16.59358457,165.000,227.000
color_1,1.216701336,16.59358457,166.000,227.000
color_1,1.218013917,43.15921722,167.000,15.500
color_1,1.219326497,-9.97204808,168.000,438.500
color_1,1.220639078,-10.72568305,169.000,444.500
color_1,1.221951659,-10.41166848,170.000,442.000
color_1,1.223264239,-10.22325974,171.000,440.500
color_1,1.22457682,-10.16045682,172.000,440.000
color_1,1.225889401,-10.03485099,173.000,439.000
color_1,1.227201981,-9.909245166,174.000,438.000
color_1,1.228514562,16.59358457,175.000,227.000
color_1,1.229827143,-10.03485099,176.000,439.000
color_1,1.231139724,-10.78848596,177.000,445.000
color_1,1.232452304,-10.60007722,178.000,443.500
color_1,1.233764885,-10.28606265,179.000,441.000
color_1,1.235077466,-10.09765391,180.000,439.500
color_1,1.236390046,-9.97204808,181.000,438.500
color_1,1.237702627,-9.909245166,182.000,438.000
color_1,1.239015208,-9.783639338,183.000,437.000
color_1,1.240327788,-9.783639338,184.000,437.000
color_1,1.241640369,43.09641431,185.000,16.000
color_1,1.24295295,-10.78848596,186.000,445.000
color_1,1.24426553,-10.72568305,187.000,444.500
color_1,1.245578111,-10.47447139,188.000,442.500
color_1,1.246890692,-10.22325974,189.000,440.500
color_1,1.248203272,-10.03485099,190.000,439.000
color_1,1.249515853,-9.97204808,191.000,438.500
color_1,1.250828434,-9.909245166,192.000,438.000
color_1,1.252141014,16.59358457,193.000,227.000
color_1,1.253453595,-10.47447139,194.000,442.500
color_1,1.254766176,-10.60007722,195.000,443.500
color_1,1.256078756,-10.53727431,196.000,443.000
color_1,1.257391337,-10.28606265,197.000,441.000
color_1,1.258703918,-10.09765391,198.000,439.500
color_1,1.260016499,-9.97204808,199.000,438.500
color_1,1.261329079,-9.846442252,200.000,437.500
color_1,1.26264166,-9.783639338,201.000,437.000
color_1,1.263954241,16.65638749,202.000,226.500
color_1,1.265266821,-9.97204808,203.000,438.500
color_1,1.266579402,-10.72568305,204.000,444.500
color_1,1.267891983,-10.60007722,205.000,443.500
color_1,1.269204563,-10.34886556,206.000,441.500
color_1,1.270517144,-10.16045682,207.000,440.000
color_1,1.271829725,-10.03485099,208.000,439.000
color_1,1.273142305,-9.97204808,209.000,438.500
color_1,1.274454886,16.59358457,210.000,227.000
color_1,1.275767467,-10.09765391,211.000,439.500
color_1,1.277080047,-10.78848596,212.000,445.000
color_1,1.278392628,-10.78848596,213.000,445.000
color_1,1.279705209,-10.47447139,214.000,442.500
color_1,1.281017789,-10.22325974,215.000,440.500
color_1,1.28233037,-10.34886556,216.000,441.500
color_1,1.283642951,-10.22325974,217.000,440.500
color_1,1.284955531,-10.16045682,218.000,440.000
color_1,1.286268112,-10.09765391,219.000,439.500
color_1,1.287580693,-10.03485099,220.000,439.000
color_1,1.288893274,-11.03969762,221.000,447.000
color_1,1.290205854,-10.72568305,222.000,444.500
color_1,1.291518435,-10.60007722,223.000,443.500
color_1,1.292831016,-10.28606265,224.000,441.000
color_1,1.294143596,-10.09765391,225.000,439.500
color_1,1.295456177,-9.909245166,226.000,438.000
color_1,1.296768758,-9.783639338,227.000,437.000
color_1,1.298081338,16.65638749,228.000,226.500
color_1,1.299393919,-9.846442252,229.000,437.500
color_1,1.3007065,-10.85128888,230.000,445.500
color_1,1.30201908,-10.78848596,231.000,445.000
color_1,1.303331661,-10.34886556,232.000,441.500
color_1,1.304644242,-10.16045682,233.000,440.000
color_1,1.305956822,-9.97204808,234.000,438.500
color_1,1.307269403,-9.909245166,235.000,438.000
color_1,1.308581984,-9.783639338,236.000,437.000
color_1,1.309894564,16.65638749,237.000,226.500
color_1,1.311207145,43.09641431,238.000,16.000
color_1,1.312519726,-10.03485099,239.000,439.000
color_1,1.313832307,-10.47447139,240.000,442.500
color_1,1.315144887,-10.34886556,241.000,441.500
color_1,1.316457468,-10.28606265,242.000,441.000
color_1,1.317770049,-10.03485099,243.000,439.000
color_1,1.319082629,-9.846442252,244.000,437.500
color_1,1.32039521,-9.783639338,245.000,437.000
color_1,1.321707791,16.65638749,246.000,226.500
color_1,1.323020371,-10.78848596,247.000,445.000
color_1,1.324332952,-10.91409179,248.000,446.000
color_1,1.325645533,-10.34886556,249.000,441.500
color_1,1.326958113,-10.09765391,250.000,439.500
color_1,1.328270694,-9.909245166,251.000,438.000
color_1,1.329583275,-9.909245166,252.000,438.000
color_1,1.330895855,-9.783639338,253.000,437.000
color_1,1.332208436,43.09641431,254.000,16.000
color_1,1.333521017,43.09641431,255.000,16.000
color_1,1.334833597,16.65638749,256.000,226.500
color_1,1.336146178,-10.72568305,257.000,444.500
color_1,1.337458759,-10.60007722,258.000,443.500
color_1,1.338771339,-10.41166848,259.000,442.000
color_1,1.34008392,-10.09765391,260.000,439.500
color_1,1.341396501,-9.97204808,261.000,438.500
color_1,1.342709082,-9.846442252,262.000,437.500
color_1,1.344021662,-9.783639338,263.000,437.000
color_1,1.345334243,16.65638749,264.000,226.500
color_1,1.346646824,-10.47447139,265.000,442.500
color_1,1.347959404,-10.47447139,266.000,442.500
color_1,1.349271985,-10.28606265,267.000,441.000
color_1,1.350584566,-10.03485099,268.000,439.000
color_1,1.351897146,-9.97204808,269.000,438.500
color_1,1.353209727,-9.846442252,270.000,437.500
color_1,1.354522308,-9.783639338,271.000,437.000
color_1,1.355834888,16.65638749,272.000,226.500
color_1,1.357147469,43.09641431,273.000,16.000
color_1,1.35846005,-9.97204808,274.000,438.500
color_1,1.35977263,-10.41166848,275.000,442.000
color_1,1.361085211,-10.66288013,276.000,444.000
color_1,1.362397792,-10.28606265,277.000,441.000
color_1,1.363710372,-10.09765391,278.000,439.500
color_1,1.365022953,-9.97204808,279.000,438.500
color_1,1.366335534,-9.846442252,280.000,437.500
color_1,1.367648115,-9.783639338,281.000,437.000
color_1,1.368960695,-10.41166848,282.000,442.000
color_1,1.370273276,-10.47447139,283.000,442.500
color_1,1.371585857,-10.66288013,284.000,444.000
color_1,1.372898437,-10.22325974,285.000,440.500
color_1,1.374211018,-10.03485099,286.000,439.000
color_1,1.375523599,-9.846442252,287.000,437.500
color_1,1.376836179,-9.846442252,288.000,437.500
color_1,1.37814876,16.65638749,289.000,226.500
color_1,1.379461341,16.65638749,290.000,226.500
color_1,1.380773921,43.09641431,291.000,16.000
color_1,1.382086502,-10.60007722,292.000,443.500
color_1,1.383399083,-10.60007722,293.000,443.500
color_1,1.384711663,-10.34886556,294.000,441.500
color_1,1.386024244,-10.09765391,295.000,439.500
color_1,1.387336825,-10.03485099,296.000,439.000
color_1,1.388649405,-9.846442252,297.000,437.500
color_1,1.389961986,16.65638749,298.000,226.500
color_1,1.391274567,16.7191904,299.000,226.000
color_1,1.392587147,-9.97204808,300.000,438.500
color_1,1.393899728,-10.47447139,301.000,442.500
color_1,1.395212309,-10.47447139,302.000,442.500
color_1,1.39652489,-10.09765391,303.000,439.500
color_1,1.39783747,-9.97204808,304.000,438.500
color_1,1.399150051,-9.846442252,305.000,437.500
color_1,1.400462632,-9.720836424,306.000,436.500
color_1,1.401775212,-9.65803351,307.000,436.000
color_1,1.403087793,16.7191904,308.000,226.000
color_1,1.404400374,16.7191904,309.000,226.000
color_1,1.405712954,-10.60007722,310.000,443.500
color_1,1.407025535,-10.47447139,311.000,442.500
color_1,1.408338116,-10.28606265,312.000,441.000
color_1,1.409650696,-10.03485099,313.000,439.000
color_1,1.410963277,-9.846442252,314.000,437.500
color_1,1.412275858,-9.720836424,315.000,436.500
color_1,1.413588438,16.7191904,316.000,226.000
color_1,1.414901019,16.7191904,317.000,226.000
color_1,1.4162136,43.09641431,318.000,16.000
color_1,1.41752618,-9.65803351,319.000,436.000
color_1,1.418838761,-10.53727431,320.000,443.000
color_1,1.420151342,-10.53727431,321.000,443.000
color_1,1.421463922,-10.03485099,322.000,439.000
color_1,1.422776503,-9.909245166,323.000,438.000
color_1,1.424089084,-9.783639338,324.000,437.000
color_1,1.425401665,-9.65803351,325.000,436.000
color_1,1.426714245,-9.65803351,326.000,436.000
color_1,1.428026826,-9.909245166,327.000,438.000
color_1,1.429339407,-10.41166848,328.000,442.000
color_1,1.430651987,-10.22325974,329.000,440.500
color_1,1.431964568,-10.16045682,330.000,440.000
color_1,1.433277149,-9.97204808,331.000,438.500
color_1,1.434589729,-9.783639338,332.000,437.000
color_1,1.43590231,-9.720836424,333.000,436.500
color_1,1.437214891,16.7191904,334.000,226.000
color_1,1.438527471,43.09641431,335.000,16.000
color_1,1.439840052,43.09641431,336.000,16.000
color_1,1.441152633,-10.47447139,337.000,442.500
color_1,1.442465213,-10.53727431,338.000,443.000
color_1,1.443777794,-10.16045682,339.000,440.000
color_1,1.445090375,-9.97204808,340.000,438.500
color_1,1.446402955,-9.846442252,341.000,437.500
color_1,1.447715536,-9.720836424,342.000,436.500
color_1,1.449028117,-9.65803351,343.000,436.000
color_1,1.450340698,16.7191904,344.000,226.000
color_1,1.451653278,-10.41166848,345.000,442.000
color_1,1.452965859,-10.34886556,346.000,441.500
color_1,1.45427844,-10.53727431,347.000,443.000
color_1,1.45559102,-10.03485099,348.000,439.000
color_1,1.456903601,-9.846442252,349.000,437.500
color_1,1.458216182,-9.720836424,350.000,436.500
color_1,1.459528762,-9.595230596,351.000,435.500
color_1,1.460841343,16.78199331,352.000,225.500
color_1,1.462153924,43.09641431,353.000,16.000
color_1,1.463466504,-9.65803351,354.000,436.000
color_1,1.464779085,-10.47447139,355.000,442.500
color_1,1.466091666,-10.53727431,356.000,443.000
color_1,1.467404246,-10.16045682,357.000,440.000
color_1,1.468716827,-9.909245166,358.000,438.000
color_1,1.470029408,-9.720836424,359.000,436.500
color_1,1.471341988,-9.595230596,360.000,435.500
color_1,1.472654569,-9.532427682,361.000,435.000
color_1,1.47396715,16.78199331,362.000,225.500
color_1,1.47527973,-10.16045682,363.000,440.000
color_1,1.476592311,-10.34886556,364.000,441.500
color_1,1.477904892,-10.22325974,365.000,440.500
color_1,1.479217473,-9.97204808,366.000,438.500
color_1,1.480530053,-9.720836424,367.000,436.500
color_1,1.481842634,-9.595230596,368.000,435.500
color_1,1.483155215,-9.532427682,369.000,435.000
color_1,1.484467795,16.78199331,370.000,225.500
color_1,1.485780376,16.84479623,371.000,225.000
color_1,1.487092957,-9.65803351,372.000,436.000
color_1,1.488405537,-10.41166848,373.000,442.000
color_1,1.489718118,-10.22325974,374.000,440.500
color_1,1.491030699,-9.846442252,375.000,437.500
color_1,1.492343279,-9.720836424,376.000,436.500
color_1,1.49365586,-9.595230596,377.000,435.500
color_1,1.494968441,16.78199331,378.000,225.500
color_1,1.496281021,43.09641431,379.000,16.000
color_1,1.497593602,-9.65803351,380.000,436.000
color_1,1.498906183,-10.16045682,381.000,440.000
color_1,1.500218763,-10.41166848,382.000,442.000
color_1,1.501531344,-9.909245166,383.000,438.000
color_1,1.502843925,-9.783639338,384.000,437.000
color_1,1.504156505,-9.595230596,385.000,435.500
color_1,1.505469086,-9.532427682,386.000,435.000
color_1,1.506781667,16.84479623,387.000,225.000
color_1,1.508094248,43.09641431,388.000,16.000
color_1,1.509406828,43.09641431,389.000,16.000
color_1,1.510719409,-9.65803351,390.000,436.000
color_1,1.51203199,-10.03485099,391.000,439.000
color_1,1.51334457,-9.909245166,392.000,438.000
color_1,1.514657151,-9.783639338,393.000,437.000
color_1,1.515969732,-9.595230596,394.000,435.500
color_1,1.517282312,-9.469624768,395.000,434.500
color_1,1.518594893,-9.406821854,396.000,434.000
color_1,1.519907474,16.84479623,397.000,225.000
color_1,1.521220054,-9.65803351,398.000,436.000
color_1,1.522532635,-10.03485099,399.000,439.000
color_1,1.523845216,-9.846442252,400.000,437.500
color_1,1.525157796,-9.783639338,401.000,437.000
color_1,1.526470377,-9.595230596,402.000,435.500
color_1,1.527782958,-9.469624768,403.000,434.500
color_1,1.529095538,-9.344018939,404.000,433.500
color_1,1.530408119,-9.281216025,405.000,433.000
color_1,1.5317207,16.90759914,406.000,224.500
color_1,1.533033281,-9.532427682,407.000,435.000
color_1,1.534345861,-10.03485099,408.000,439.000
color_1,1.535658442,-10.09765391,409.000,439.500
color_1,1.536971023,-9.846442252,410.000,437.500
color_1,1.538283603,-9.595230596,411.000,435.500
color_1,1.539596184,-9.406821854,412.000,434.000
color_1,1.540908765,-9.344018939,413.000,433.500
color_1,1.542221345,-9.281216025,414.000,433.000
color_1,1.543533926,-9.532427682,415.000,435.000
color_1,1.544846507,-9.909245166,416.000,438.000
color_1,1.546159087,-9.97204808,417.000,438.500
color_1,1.547471668,-9.846442252,418.000,437.500
color_1,1.548784249,-9.595230596,419.000,435.500
color_1,1.550096829,-9.406821854,420.000,434.000
color_1,1.55140941,-9.281216025,421.000,433.000
color_1,1.552721991,-9.281216025,422.000,433.000
color_1,1.554034571,16.97040206,423.000,224.000
color_1,1.555347152,43.09641431,424.000,16.000
color_1,1.556659733,-9.406821854,425.000,434.000
color_1,1.557972313,-9.720836424,426.000,436.500
color_1,1.559284894,-9.783639338,427.000,437.000
color_1,1.560597475,-9.595230596,428.000,435.500
color_1,1.561910056,-9.344018939,429.000,433.500
color_1,1.563222636,-9.218413111,430.000,432.500
color_1,1.564535217,-9.030004369,431.000,431.000
color_1,1.565847798,-9.030004369,432.000,431.000
color_1,1.567160378,-9.218413111,433.000,432.500
color_1,1.568472959,-9.532427682,434.000,435.000
color_1,1.56978554,-9.65803351,435.000,436.000
color_1,1.57109812,-9.469624768,436.000,434.500
color_1,1.572410701,-9.281216025,437.000,433.000
color_1,1.573723282,-9.092807283,438.000,431.500
color_1,1.575035862,-8.967201455,439.000,430.500
color_1,1.576348443,-8.841595627,440.000,429.500
color_1,1.577661024,17.1588108,441.000,222.500
color_1,1.578973604,17.22161371,442.000,222.000
color_1,1.580286185,-8.904398541,443.000,430.000
color_1,1.581598766,-9.218413111,444.000,432.500
color_1,1.582911346,-9.092807283,445.000,431.500
color_1,1.584223927,-8.967201455,446.000,430.500
color_1,1.585536508,-8.904398541,447.000,430.000
color_1,1.586849088,-8.653186885,448.000,428.000
color_1,1.588161669,-8.590383971,449.000,427.500
color_1,1.58947425,-8.464778142,450.000,426.500
color_1,1.590786831,-8.841595627,451.000,429.500
color_1,1.592099411,-8.841595627,452.000,429.500
color_1,1.593411992,-8.653186885,453.000,428.000
color_1,1.594724573,-8.464778142,454.000,426.500
color_1,1.596037153,-8.213566486,455.000,424.500
color_1,1.597349734,-8.2763694,456.000,425.000
color_1,1.598662315,-8.2763694,457.000,425.000
color_1,1.599974895,-8.087960658,458.000,423.500
color_1,1.601287476,-8.025157744,459.000,423.000
color_1,1.602600057,-7.899551916,460.000,422.000
color_1,1.603912637,-8.401975228,461.000,426.000
color_1,1.605225218,-8.339172314,462.000,425.500
color_1,1.606537799,-7.96235483,463.000,422.500
color_1,1.607850379,-7.711143174,464.000,420.500
color_1,1.60916296,-7.64834026,465.000,420.000
color_1,1.610475541,-7.522734431,466.000,419.000
color_1,1.611788121,-7.585537345,467.000,419.500
color_1,1.613100702,-7.459931517,468.000,418.500
color_1,1.614413283,-7.773946088,469.000,421.000
color_1,1.615725864,-7.711143174,470.000,420.500
color_1,1.617038444,-7.208719861,471.000,416.500
color_1,1.618351025,-6.957508205,472.000,414.500
color_1,1.619663606,-6.831902377,473.000,413.500
color_1,1.620976186,-6.769099463,474.000,413.000
color_1,1.622288767,-6.643493634,475.000,412.000
color_1,1.623601348,-6.769099463,476.000,413.000
color_1,1.624913928,-6.706296548,477.000,412.500
color_1,1.626226509,-6.831902377,478.000,413.500
color_1,1.62753909,-6.831902377,479.000,413.500
color_1,1.62885167,-6.769099463,480.000,413.000
color_1,1.630164251,-6.203873236,481.000,408.500
color_1,1.631476832,-6.015464494,482.000,407.000
color_1,1.632789412,-5.95266158,483.000,406.500
color_1,1.634101993,-5.827055751,484.000,405.500
color_1,1.635414574,-5.889858666,485.000,406.000
color_1,1.636727154,-5.95266158,486.000,406.500
color_1,1.638039735,-5.889858666,487.000,406.000
color_1,1.639352316,-5.827055751,488.000,405.500
color_1,1.640664896,-5.764252837,489.000,405.000
color_1,1.641977477,-5.073420783,490.000,399.500
color_1,1.643290058,-4.759406212,491.000,397.000
color_1,1.644602639,-4.696603298,492.000,396.500
color_1,1.645915219,-4.57099747,493.000,395.500
color_1,1.6472278,-4.696603298,494.000,396.500
color_1,1.648540381,-4.508194556,495.000,395.000
color_1,1.649852961,-4.759406212,496.000,397.000
color_1,1.651165542,-4.633800384,497.000,396.000
color_1,1.652478123,-4.88501204,498.000,398.000
color_1,1.653790703,-4.005771243,499.000,391.000
color_1,1.655103284,-3.691756673,500.000,388.500
color_1,1.656415865,-3.566150845,501.000,387.500
color_1,1.657728445,-3.503347931,502.000,387.000
color_1,1.659041026,-3.377742103,503.000,386.000
color_1,1.660353607,-3.314939189,504.000,385.500
color_1,1.661666187,-3.566150845,505.000,387.500
color_1,1.662978768,-3.440545017,506.000,386.500
color_1,1.664291349,-3.314939189,507.000,385.500
color_1,1.665603929,-2.498501306,508.000,379.000
color_1,1.66691651,-2.310092563,509.000,377.500
color_1,1.668229091,-2.121683821,510.000,376.000
color_1,1.669541672,-2.121683821,511.000,376.000
color_1,1.670854252,-2.058880907,512.000,375.500
color_1,1.672166833,-1.933275079,513.000,374.500
color_1,1.673479414,-1.933275079,514.000,374.500
