series,x,y,pixel_x,pixel_y
color_1,0.9936022634,11.565051,121.000,242.000
color_1,0.9950750634,11.565051,122.000,242.000
color_1,0.9965478634,11.565051,123.000,242.000
color_1,0.9980206634,11.565051,124.000,242.000
color_1,0.9994934634,11.565051,125.000,242.000
color_1,1.000966263,7.840800222,126.000,310.500
color_1,1.002439063,7.922353159,127.000,309.000
color_1,1.003911863,7.949537471,128.000,308.500
color_1,1.005384663,4.034996503,129.000,380.500
color_1,1.006857463,3.980627878,130.000,381.500
color_1,1.008330263,4.034996503,131.000,380.500
color_1,1.009803064,7.895168846,132.000,309.500
color_1,1.011275864,0.6369574684,133.000,443.000
color_1,1.012748664,0.2835614088,134.000,449.500
color_1,1.014221464,-0.1242032753,135.000,457.000
color_1,1.015694264,0.2835614088,136.000,449.500
color_1,1.017167064,0.3379300334,137.000,448.500
color_1,1.018639864,0.3922986579,138.000,447.500
color_1,1.020112664,0.3107457211,139.000,449.000
color_1,1.021585464,0.3107457211,140.000,449.000
color_1,1.023058264,0.6369574684,141.000,443.000
color_1,1.024531064,0.691326093,142.000,442.000
color_1,1.026003864,0.3107457211,143.000,449.000
color_1,1.027476664,0.7456947175,144.000,441.000
color_1,1.028949464,0.3107457211,145.000,449.000
color_1,1.030422264,0.8000633421,146.000,440.000
color_1,1.031895064,0.3107457211,147.000,449.000
color_1,1.033367864,0.3922986579,148.000,447.500
color_1,1.034840664,0.3107457211,149.000,449.000
color_1,1.036313464,0.3107457211,150.000,449.000
color_1,1.037786264,-0.06983465076,151.000,456.000
color_1,1.039259064,0.2835614088,152.000,449.500
color_1,1.040731864,0.2835614088,153.000,449.500
color_1,1.042204664,0.2835614088,154.000,449.500
color_1,1.043677464,0.3379300334,155.000,448.500
color_1,1.045150264,0.3107457211,156.000,449.000
color_1,1.046623064,0.5282202193,157.000,445.000
color_1,1.048095864,0.6097731562,158.000,443.500
color_1,1.049568664,0.6641417807,159.000,442.500
color_1,1.051041464,0.691326093,160.000,442.000
color_1,1.052514264,0.7456947175,161.000,441.000
color_1,1.053987064,0.7456947175,162.000,441.000
color_1,1.055459864,0.8000633421,163.000,440.000
color_1,1.056932664,0.3651143457,164.000,448.000
color_1,1.058405464,0.3651143457,165.000,448.000
color_1,1.059878264,0.4194829702,166.000,447.000
color_1,1.061351064,0.5282202193,167.000,445.000
color_1,1.062823864,0.3107457211,168.000,449.000
color_1,1.064296664,0.3107457211,169.000,449.000
color_1,1.065769464,0.3107457211,170.000,449.000
color_1,1.067242264,0.7456947175,171.000,441.000
color_1,1.068715064,0.3651143457,172.000,448.000
color_1,1.070187864,0.3922986579,173.000,447.500
color_1,1.071660664,0.3107457211,174.000,449.000
color_1,1.073133464,0.3107457211,175.000,449.000
color_1,1.074606264,0.3107457211,176.000,449.000
color_1,1.076079064,0.3107457211,177.000,449.000
color_1,1.077551864,0.7185104053,178.000,441.500
color_1,1.079024664,0.7456947175,179.000,441.000
color_1,1.080497464,0.8000633421,180.000,440.000
color_1,1.081970264,0.3107457211,181.000,449.000
color_1,1.083443064,0.3107457211,182.000,449.000
color_1,1.084915864,0.3107457211,183.000,449.000
color_1,1.086388664,0.4738515948,184.000,446.000
color_1,1.087861464,0.5825888439,185.000,444.000
color_1,1.089334264,0.691326093,186.000,442.000
color_1,1.090807064,0.691326093,187.000,442.000
color_1,1.092279864,0.7456947175,188.000,441.000
color_1,1.093752664,0.8000633421,189.000,440.000
color_1,1.095225464,0.3107457211,190.000,449.000
color_1,1.096698264,0.3107457211,191.000,449.000
color_1,1.098171064,0.3107457211,192.000,449.000
color_1,1.099643864,0.3107457211,193.000,449.000
color_1,1.101116664,0.3107457211,194.000,449.000
color_1,1.102589464,0.3107457211,195.000,449.000
color_1,1.104062264,0.7456947175,196.000,441.000
color_1,1.105535064,0.8000633421,197.000,440.000
color_1,1.107007864,0.8272476544,198.000,439.500
color_1,1.108480664,0.8272476544,199.000,439.500
color_1,1.109953464,0.3651143457,200.000,448.000
color_1,1.111426264,0.3922986579,201.000,447.500
color_1,1.112899064,0.3107457211,202.000,449.000
color_1,1.114371864,0.03890259835,203.000,454.000
color_1,1.115844664,0.691326093,204.000,442.000
color_1,1.117317464,0.7728790298,205.000,440.500
color_1,1.118790264,0.7728790298,206.000,440.500
color_1,1.120263064,0.8000633421,207.000,440.000
color_1,1.121735864,0.3651143457,208.000,448.000
color_1,1.123208664,0.3922986579,209.000,447.500
color_1,1.124681464,0.3379300334,210.000,448.500
color_1,1.126154264,0.3379300334,211.000,448.500
color_1,1.127627064,0.3379300334,212.000,448.500
color_1,1.129099864,0.3379300334,213.000,448.500
color_1,1.130572664,0.7456947175,214.000,441.000
color_1,1.132045464,0.8000633421,215.000,440.000
color_1,1.133518264,0.8000633421,216.000,440.000
color_1,1.134991064,0.3651143457,217.000,448.000
color_1,1.136463864,0.3651143457,218.000,448.000
color_1,1.137936664,0.4738515948,219.000,446.000
color_1,1.139409464,0.3379300334,220.000,448.500
color_1,1.140882264,0.3379300334,221.000,448.500
color_1,1.142355064,0.691326093,222.000,442.000
color_1,1.143827864,0.7456947175,223.000,441.000
color_1,1.145300664,0.3379300334,224.000,448.500
color_1,1.146773464,0.3107457211,225.000,449.000
color_1,1.148246264,0.3379300334,226.000,448.500
color_1,1.149719064,0.3651143457,227.000,448.000
color_1,1.151191864,0.5825888439,228.000,444.000
color_1,1.152664664,0.6369574684,229.000,443.000
color_1,1.154137464,-0.2329405244,230.000,459.000
color_1,1.155610264,-0.2601248367,231.000,459.500
color_1,1.157083064,-0.3144934612,232.000,460.500
color_1,1.158555864,-0.3416777735,233.000,461.000
color_1,1.160028664,-0.3416777735,234.000,461.000
color_1,1.161501464,0.3651143457,235.000,448.000
color_1,1.162974264,0.4466672825,236.000,446.500
color_1,1.164447065,0.4466672825,237.000,446.500
color_1,1.165919865,0.3379300334,238.000,448.500
color_1,1.167392665,0.6369574684,239.000,443.000
color_1,1.168865465,0.691326093,240.000,442.000
color_1,1.170338265,0.7456947175,241.000,441.000
color_1,1.171811065,0.7728790298,242.000,440.500
color_1,1.173283865,0.3922986579,243.000,447.500
color_1,1.174756665,0.4194829702,244.000,447.000
color_1,1.176229465,0.3651143457,245.000,448.000
color_1,1.177702265,0.5825888439,246.000,444.000
color_1,1.179175065,0.3379300334,247.000,448.500
color_1,1.180647865,0.3379300334,248.000,448.500
color_1,1.182120665,0.3379300334,249.000,448.500
color_1,1.183593465,0.3379300334,250.000,448.500
color_1,1.185066265,0.8000633421,251.000,440.000
color_1,1.186539065,0.3922986579,252.000,447.500
color_1,1.188011865,0.3922986579,253.000,447.500
color_1,1.189484665,0.3651143457,254.000,448.000
color_1,1.190957465,0.501035907,255.000,445.500
color_1,1.192430265,0.0932712229,256.000,453.000
color_1,1.193903065,0.3379300334,257.000,448.500
color_1,1.195375865,0.3379300334,258.000,448.500
color_1,1.196848665,0.3379300334,259.000,448.500
color_1,1.198321465,0.3379300334,260.000,448.500
color_1,1.199794265,0.3651143457,261.000,448.000
color_1,1.201267065,0.3651143457,262.000,448.000
color_1,1.202739865,0.5282202193,263.000,445.000
color_1,1.204212665,0.3651143457,264.000,448.000
color_1,1.205685465,0.691326093,265.000,442.000
color_1,1.207158265,0.3379300334,266.000,448.500
color_1,1.208631065,-0.06983465076,267.000,456.000
color_1,1.210103865,-0.1242032753,268.000,457.000
color_1,1.211576665,0.3651143457,269.000,448.000
color_1,1.213049465,0.4194829702,270.000,447.000
color_1,1.214522265,0.3651143457,271.000,448.000
color_1,1.215995065,0.4466672825,272.000,446.500
color_1,1.217467865,0.5825888439,273.000,444.000
