series,x,y,pixel_x,pixel_y
color_1,1.855690546,-19.92770572,388.000,303.000
color_1,1.857911299,-19.92770572,389.000,303.000
color_1,1.860132052,-19.92770572,390.000,303.000
color_1,1.862352804,-19.78370189,391.000,302.500
color_1,1.864573557,-19.63969807,392.000,302.000
color_1,1.86679431,-19.49569424,393.000,301.500
color_1,1.869015062,-19.06368276,394.000,300.000
color_1,1.871235815,-19.06368276,395.000,300.000
color_1,1.873456568,-19.06368276,396.000,300.000
color_1,1.87567732,-19.06368276,397.000,300.000
color_1,1.877898073,-18.63167127,398.000,298.500
color_1,1.880118825,-18.63167127,399.000,298.500
color_1,1.882339578,-18.34366362,400.000,297.500
color_1,1.884560331,-18.34366362,401.000,297.500
color_1,1.886781083,-18.05565596,402.000,296.500
color_1,1.889001836,-17.76764831,403.000,295.500
color_1,1.891222589,-17.76764831,404.000,295.500
color_1,1.893443341,-17.47964065,405.000,294.500
color_1,1.895664094,-17.191633,406.000,293.500
color_1,1.897884846,-17.191633,407.000,293.500
color_1,1.900105599,-16.90362535,408.000,292.500
color_1,1.902326352,-16.75962152,409.000,292.000
color_1,1.904547104,-16.32761004,410.000,290.500
color_1,1.906767857,-16.18360621,411.000,290.000
color_1,1.90898861,-16.03960238,412.000,289.500
color_1,1.911209362,-15.75159473,413.000,288.500
color_1,1.913430115,-15.46358707,414.000,287.500
color_1,1.915650868,-15.31958324,415.000,287.000
color_1,1.91787162,-15.03157559,416.000,286.000
color_1,1.920092373,-14.88757176,417.000,285.500
color_1,1.922313125,-14.45556028,418.000,284.000
color_1,1.924533878,-14.16755263,419.000,283.000
color_1,1.926754631,-13.59153732,420.000,281.000
color_1,1.928975383,-13.30352966,421.000,280.000
color_1,1.931196136,-13.01552201,422.000,279.000
color_1,1.933416889,-12.72751435,423.000,278.000
color_1,1.935637641,-12.29550287,424.000,276.500
color_1,1.937858394,-11.86349139,425.000,275.000
color_1,1.940079146,-11.43147991,426.000,273.500
color_1,1.942299899,-10.99946842,427.000,272.000
color_1,1.944520652,-10.56745694,428.000,270.500
color_1,1.946741404,-10.13544546,429.000,269.000
color_1,1.948962157,-9.703433978,430.000,267.500
color_1,1.95118291,-9.127418669,431.000,265.500
color_1,1.953403662,-8.839411014,432.000,264.500
color_1,1.955624415,-7.97538805,433.000,261.500
color_1,1.957845168,-7.687380395,434.000,260.500
color_1,1.96006592,-7.111365086,435.000,258.500
color_1,1.962286673,-6.535349777,436.000,256.500
color_1,1.964507425,-6.247342122,437.000,255.500
color_1,1.966728178,-5.239315331,438.000,252.000
color_1,1.968948931,-4.519296194,439.000,249.500
color_1,1.971169683,-3.65527323,440.000,246.500
color_1,1.973390436,-3.07925792,441.000,244.500
color_1,1.975611189,-2.215234956,442.000,241.500
color_1,1.977831941,-1.351211992,443.000,238.500
color_1,1.980052694,-0.6311928556,444.000,236.000
color_1,1.982273446,0.3768339358,445.000,232.500
color_1,1.984494199,0.5208377631,446.000,232.000
color_2,1.185023252,-28.27992771,86.000,332.000
color_2,1.187244004,-28.27992771,87.000,332.000
color_2,1.189464757,-28.27992771,88.000,332.000
color_2,1.19168551,-27.99192005,89.000,331.000
color_2,1.193906262,-27.99192005,90.000,331.000
color_2,1.196127015,3.976929619,91.000,220.000
color_2,1.198347768,3.976929619,92.000,220.000
color_2,1.20056852,3.976929619,93.000,220.000
color_2,1.202789273,-27.99192005,94.000,331.000
color_2,1.205010025,3.976929619,95.000,220.000
color_2,1.207230778,3.976929619,96.000,220.000
color_2,1.209451531,3.976929619,97.000,220.000
color_2,1.211672283,3.976929619,98.000,220.000
color_2,1.213893036,3.976929619,99.000,220.000
color_2,1.216113789,3.976929619,100.000,220.000
color_2,1.218334541,3.976929619,101.000,220.000
color_2,1.220555294,-27.7039124,102.000,330.000
color_2,1.222776047,-27.7039124,103.000,330.000
color_2,1.224996799,-27.7039124,104.000,330.000
color_2,1.227217552,-27.7039124,105.000,330.000
color_2,1.229438304,-27.7039124,106.000,330.000
color_2,1.231659057,-27.7039124,107.000,330.000
color_2,1.23387981,-27.7039124,108.000,330.000
color_2,1.236100562,-27.7039124,109.000,330.000
color_2,1.238321315,-27.7039124,110.000,330.000
color_2,1.240542068,-27.7039124,111.000,330.000
color_2,1.24276282,-27.7039124,112.000,330.000
color_2,1.244983573,-27.7039124,113.000,330.000
color_2,1.247204325,-27.7039124,114.000,330.000
color_2,1.249425078,-27.7039124,115.000,330.000
color_2,1.251645831,-27.7039124,116.000,330.000
color_2,1.253866583,-27.7039124,117.000,330.000
color_2,1.256087336,-27.7039124,118.000,330.000
color_2,1.258308089,-27.7039124,119.000,330.000
color_2,1.260528841,-27.7039124,120.000,330.000
color_2,1.262749594,-27.7039124,121.000,330.000
color_2,1.264970347,-27.7039124,122.000,330.000
color_2,1.267191099,-27.7039124,123.000,330.000
color_2,1.269411852,-27.7039124,124.000,330.000
color_2,1.271632604,-27.7039124,125.000,330.000
color_2,1.273853357,-27.7039124,126.000,330.000
color_2,1.27607411,-27.7039124,127.000,330.000
color_2,1.278294862,-27.7039124,128.000,330.000
color_2,1.280515615,-27.7039124,129.000,330.000
color_2,1.282736368,-27.7039124,130.000,330.000
color_2,1.28495712,-27.7039124,131.000,330.000
color_2,1.287177873,-27.99192005,132.000,331.000
color_2,1.289398625,-27.99192005,133.000,331.000
color_2,1.291619378,-27.99192005,134.000,331.000
color_2,1.293840131,-27.99192005,135.000,331.000
color_2,1.296060883,-27.99192005,136.000,331.000
color_2,1.298281636,-27.99192005,137.000,331.000
color_2,1.300502389,-27.99192005,138.000,331.000
color_2,1.302723141,-27.99192005,139.000,331.000
color_2,1.304943894,-27.99192005,140.000,331.000
color_2,1.307164647,-27.99192005,141.000,331.000
color_2,1.309385399,-27.84791622,142.000,330.500
color_2,1.311606152,-27.84791622,143.000,330.500
color_2,1.313826904,-27.84791622,144.000,330.500
color_2,1.316047657,-27.84791622,145.000,330.500
color_2,1.31826841,-27.84791622,146.000,330.500
color_2,1.320489162,-27.84791622,147.000,330.500
color_2,1.322709915,-27.84791622,148.000,330.500
color_2,1.324930668,-27.84791622,149.000,330.500
color_2,1.32715142,-27.84791622,150.000,330.500
color_2,1.329372173,-27.84791622,151.000,330.500
color_2,1.331592925,-27.84791622,152.000,330.500
color_2,1.333813678,-27.84791622,153.000,330.500
color_2,1.336034431,-27.84791622,154.000,330.500
color_2,1.338255183,-27.84791622,155.000,330.500
color_2,1.340475936,-27.84791622,156.000,330.500
color_2,1.342696689,-27.84791622,157.000,330.500
color_2,1.344917441,-27.84791622,158.000,330.500
color_2,1.347138194,-27.84791622,159.000,330.500
color_2,1.349358946,-27.84791622,160.000,330.500
color_2,1.351579699,-27.84791622,161.000,330.500
color_2,1.353800452,-27.84791622,162.000,330.500
color_2,1.356021204,-27.7039124,163.000,330.000
color_2,1.491487115,-27.12789709,224.000,328.000
color_2,1.493707868,-27.12789709,225.000,328.000
color_2,1.49592862,-27.12789709,226.000,328.000
color_2,1.498149373,-27.12789709,227.000,328.000
color_2,1.500370125,-27.12789709,228.000,328.000
color_2,1.502590878,-27.12789709,229.000,328.000
color_2,1.504811631,-27.12789709,230.000,328.000
color_2,1.507032383,-27.12789709,231.000,328.000
color_2,1.509253136,-27.12789709,232.000,328.000
color_2,1.511473889,-27.12789709,233.000,328.000
color_2,1.513694641,-27.12789709,234.000,328.000
color_2,1.515915394,-27.12789709,235.000,328.000
color_2,1.518136146,-27.12789709,236.000,328.000
color_2,1.520356899,-27.12789709,237.000,328.000
color_2,1.522577652,-27.12789709,238.000,328.000
color_2,1.524798404,-27.12789709,239.000,328.000
color_2,1.527019157,-27.12789709,240.000,328.000
color_2,1.52923991,-27.12789709,241.000,328.000
color_2,1.531460662,-27.12789709,242.000,328.000
color_2,1.533681415,-27.12789709,243.000,328.000
color_2,1.535902168,-26.98389326,244.000,327.500
color_2,1.53812292,-26.98389326,245.000,327.500
color_2,1.540343673,-26.98389326,246.000,327.500
color_2,1.542564425,-26.98389326,247.000,327.500
color_2,1.544785178,-26.83988943,248.000,327.000
color_2,1.547005931,-26.83988943,249.000,327.000
color_2,1.549226683,-26.83988943,250.000,327.000
color_2,1.551447436,-26.83988943,251.000,327.000
color_2,1.553668189,-26.83988943,252.000,327.000
color_2,1.555888941,-26.83988943,253.000,327.000
color_2,1.558109694,-26.83988943,254.000,327.000
color_2,1.560330446,-26.83988943,255.000,327.000
color_2,1.562551199,-26.83988943,256.000,327.000
color_2,1.564771952,-26.83988943,257.000,327.000
color_2,1.566992704,-26.83988943,258.000,327.000
color_2,1.569213457,-26.83988943,259.000,327.000
color_2,1.57143421,-26.6958856,260.000,326.500
color_2,1.573654962,-26.6958856,261.000,326.500
color_2,1.575875715,-26.6958856,262.000,326.500
color_2,1.578096468,-26.6958856,263.000,326.500
color_2,1.58031722,-26.6958856,264.000,326.500
color_2,1.582537973,-26.6958856,265.000,326.500
color_2,1.584758725,-26.6958856,266.000,326.500
color_2,1.586979478,-26.6958856,267.000,326.500
color_2,1.589200231,-26.6958856,268.000,326.500
color_2,1.591420983,-26.6958856,269.000,326.500
color_2,1.593641736,-26.6958856,270.000,326.500
color_2,1.595862489,-26.6958856,271.000,326.500
color_2,1.598083241,-26.6958856,272.000,326.500
color_2,1.600303994,-26.6958856,273.000,326.500
color_2,1.602524746,-26.40787795,274.000,325.500
color_2,1.604745499,-26.40787795,275.000,325.500
color_2,1.606966252,-26.40787795,276.000,325.500
color_2,1.609187004,-26.40787795,277.000,325.500
color_2,1.611407757,-26.40787795,278.000,325.500
color_2,1.61362851,-26.40787795,279.000,325.500
color_2,1.615849262,-26.40787795,280.000,325.500
color_2,1.618070015,-26.40787795,281.000,325.500
color_2,1.620290768,-26.26387412,282.000,325.000
color_2,1.62251152,-26.26387412,283.000,325.000
color_2,1.624732273,-26.26387412,284.000,325.000
color_2,1.626953025,-26.1198703,285.000,324.500
color_2,1.629173778,-26.1198703,286.000,324.500
color_2,1.631394531,-26.1198703,287.000,324.500
color_2,1.633615283,-26.1198703,288.000,324.500
color_2,1.635836036,-26.1198703,289.000,324.500
color_2,1.638056789,-26.1198703,290.000,324.500
color_2,1.640277541,-26.1198703,291.000,324.500
color_2,1.642498294,-25.97586647,292.000,324.000
